NBA Teams,Ball is life!,Bucks,Heat,Jazz,Nets
Units of Length,Europeans would instead use meter,Foot,League,Mile,Yard
Synonyms for Eat,FOOD TIME!,Chow,Gobble,Scarf,Wolf
Musicals Beginning with "C",Music and the third letter of the alphabet!!,Cabaret,Carousel,Cats,Chicago
Condiments,They make food taste better!,Ketchup,Mayo,Relish,Tartar
Shades of Blue,What color is the sky?,Baby,Midnight,Powder,Royal
Baby Animals,These are absolutely adorable!,Calf,Cub,Joey,Kid
Mattress Sizes,If you want to sleep like kings - it only makes sense that you get a ___ bed.,Full,King,Queen,Twin
Tops,They've got you covered - literally!,Cami,Halter,Tank,Tee
Countries,Africa and Asia,Chad,Georgia,Jordan,Togo
Terms of Endearment,Love is in the air!,Boo,Honey,Sugar,Sweetie
Deadly Sins,There are 7 of these.,Envy,Greed,Lust,Pride
Greek Letters,What do science and frats have in common?,Beta,Chi,Delta,Iota
Famous Brothers,Blood is thicker than water,Jonas,Marx,Warner,Wright
Colors,Not monochrome,Brown,Pink,Turquoise,Violet
Tree Nuts,Instead of "This is crazy!" you could say "This is ____s!",Almond,Cashew,Pecan,Walnut
Ship Directions,Ahoy!,Bow,Port,Starboard,Stern
Awards,As DJ Khaled once said - All I do is win win win no matter what!,Cup,Medal,Ribbon,Trophy
Anti-Vampire,What Count Dracula sees in his nightmares,Crucifix,Garlic,Mirror,Stake
Royal Titles,Luxurious dinner parties & scandals,Baron,Earl,King,Prince
Web Browsers,These can answer almost all questions.,Chrome,Edge,Opera,Safari
Animal Noses,Sniff sniff!,Beak,Muzzle,Snout,Trunk
Dance Fads,Rhytm and Trends!!,Dougie,Macarena,Mashed Potato,Twist
Video Game Consoles,Open up a beer and you say "Get over here and play a ______",Dreamcast,Genesis,Switch,Wii
Mild Oaths,Good Grief!,Darn,Fudge,Heck,Shoot
Synonyms for Imitate,Not the original,Copy,Echo,Mimic,Parrot
Organs,They keep you alive.,Heart,Kidney,Liver,Lung
File Extensions,They go after a period,Gif,Pdf,Tiff,Zip
Arithmetic Operations,Algebra,Add,Divide,Multiply,Subtract
Pasta Shapes,The most famous example of this category is spaghetti.,Bowtie,Elbow,Shell,Spiral
3-D Shapes,2+1? D,Cone,Cube,Pyramid,Sphere
Board Games,What is Monopoly?,Clue,Risk,Sorry,Trouble
Sandwiches,The most contreversial debate of all time: Are hot dogs a type of ____?,Club,Cuban,Melt,Sub
Music Genres,Rock - Pop - Classic....,Blues,Country,Funk,Soul
Metal Elements,Metallica & Black Sabbath & Iron Maiden are _____ music bands,Iron,Lead,Tin,Zinc
Chocolate Bars,Charlie and the ____ Factory,Chunky,Crunch,Mars,Mounds
Bike Parts,I bet if you were Dutch you wouldn't need a hint in this category!,Brake,Chain,Saddle,Spoke
Land Formations,Places you would go on a hike...,Hill,Mountain,Plateau,Valley
Hairstyles,Things you would ask for at the hair salon,Bob,Crop,Pixie,Shag
Coverings,Used to hide or preserve,Cap,Cover,Lid,Top
