Palindromes,Kayak,Level,Mom,Racecar
Letter Homophones,Are,Queue,Sea,Why
Members of a Trio,Amigo,King,Stooge,Tenor
___ Man Superheroes,Bat,Iron,Spider,Super
Clue Characters,Green,Mustard,Plum,Scarlet
Members of a Septet,Sea,Sin,Sister,Wonder
___ Fish that aren't Fish,Cray,Jelly,Silver,Star
Things With Keys,Cryptography,Florida,Locksmith,Piano
Insects,Ant,Beetle,Mantis,Termite
Zodiac Symbols,Fish,Goat,Scales,Twins
Spice Girls,Baby,Ginger,Posh,Scary
Trig Functions,Cot,Sec,Sin,Tan
Homophones,Gnu,Knew,New,Nu
Video Game Characters,Crash,Link,Mario,Sonic
Fictional Pirates,Hook,Jones,Silver,Sparrow
Mr. ___,Bean,Clean,Fox,Peanut
___ Triangle,Acute,Bermuda,Love,Right
NFL Players,Bear,Bill,Brown,Commander
Synonyms for Argument,Quarrel,Row,Spat,Tiff
Best Director Oscar Winners,Bong,Ford,Lee,Stone
Lil ___ Rappers,Baby,Jon,Kim,Wayne
Sound ___,Asleep,Barrier,Bite,Wave
Things with Links,Chain,Golf Course,Sausage,Website
Band Names Minus Numbers,Blink,Maroon,Sum,U
Mustaches,Handlebar,Horseshoe,Pencil,Walrus
Words Spelled with Roman Numerals,Dill,Livid,Mild,Mix
Jack ___,Ass,Knife,Pot,Rabbit
Tropical Fruits,Banana,Coconut,Mango,Pineapple
___ Cat,Alley,Cool,Copy,Lap
Movies with "!",Airplane,Mother,Oklahoma,Them
Words with Two Pronunciations,Job,Lima,Mobile,Polish
Rubber ___,Band,Cement,Duckie,Soul
Nicknames that are Verbs,Chuck,Josh,Rob,Sue
Male Animals,Boar,Buck,Bull,Jack
___ and ___,Again,Half,Neck,So
Naked ___,Eye,Gun,Mole Rat,Truth
Countries when "A" is Added,Chin,Cub,Malt,Tong
Streets on Screen,Elm,Fear,Jump,Sesame
Dr. ___,Evil,J,No,Pepper
Seals,Harbor,Harp,Hooded,Monk
